Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,Year,Playoffs,Playoffs_S,W/L%
Rochester Royals,29.3,3.0,3.0,2.0,4.0,,,,93.6,97.1,-3.5,85.6,0.532,,0.478,0.397,,,0.385,,,,,,,,1954,,True,0.5
Fort Wayne Pistons,27.2,0.0,4.0,1.0,3.0,,,,84.9,94.6,-9.7,89.6,0.376,,0.426,0.356,,,0.281,,,,,,,,1954,,True,0.0
New York Knicks,27.1,0.0,4.0,1.0,3.0,,,,94.4,104.5,-10.1,83.7,0.716,,0.481,0.368,,,0.528,,,,,,,,1954,,True,0.0
League Average,26.9,,,4.0,4.0,,,,92.6,92.6,,87.1,0.55,,0.472,0.389,,,0.394,,,,,,,,1954,,True,
Fort Wayne Pistons,27.1,43.0,29.0,43.0,29.0,2.39,-0.38,2.01,91.2,88.9,2.3,100.7,0.453,,0.464,0.39,,,0.332,,,,,War Memorial Coliseum,,,1955,True,False,
Syracuse Nationals,26.2,43.0,29.0,40.0,32.0,1.39,-0.16,1.23,87.5,86.2,1.3,103.6,0.386,,0.442,0.372,,,0.29,,,,,Onondaga War Memorial,,,1955,True,False,
Minneapolis Lakers,26.8,40.0,32.0,39.0,33.0,1.17,-0.21,0.96,89.7,88.6,1.1,105.5,0.389,,0.455,0.388,,,0.29,,,,,Minneapolis Auditorium,,,1955,True,False,
New York Knicks,27.1,38.0,34.0,36.0,36.0,0.08,0.03,0.11,90.2,90.1,0.1,101.8,0.422,,0.458,0.389,,,0.307,,,,,Madison Square Garden (III),,,1955,True,False,
Boston Celtics,26.7,36.0,36.0,36.0,36.0,-0.06,0.05,-0.03,93.0,93.0,0.0,108.6,0.414,,0.473,0.399,,,0.321,,,,,Boston Garden,175675.0,,1955,True,False,
Philadelphia Warriors,25.2,33.0,39.0,35.0,37.0,-0.26,0.08,-0.19,89.6,89.9,-0.3,102.9,0.421,,0.454,0.384,,,0.309,,,,,Convention Hall,,,1955,False,False,
Rochester Royals,29.0,29.0,43.0,32.0,40.0,-1.63,0.19,-1.43,90.7,92.3,-1.6,99.5,0.402,,0.461,0.399,,,0.289,,,,,Edgerton Park Arena,,,1955,True,False,
Milwaukee Hawks,25.9,26.0,46.0,28.0,44.0,-3.04,0.4,-2.66,86.4,89.4,-3.0,100.5,0.442,,0.436,0.362,,,0.317,,,,,Milwaukee Arena,,,1955,False,False,
Baltimore Bullets,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,1955,False,False,
League Average,26.5,,,36.0,36.0,0.01,0.0,0.0,89.8,89.8,,102.9,0.416,,0.455,,,,0.307,,,,,,175675.0,,1955,False,False,
Syracuse Nationals,25.9,7.0,4.0,6.0,5.0,,,,88.7,86.6,2.1,108.6,0.491,,0.448,0.363,,,0.364,,,,,,,,1955,,True,0.636
Fort Wayne Pistons,27.2,6.0,5.0,6.0,5.0,,,,92.7,90.7,2.0,99.1,0.47,,0.472,0.391,,,0.356,,,,,,,,1955,,True,0.545
Boston Celtics,26.9,3.0,4.0,3.0,4.0,,,,98.3,99.3,-1.0,105.6,0.384,,0.504,0.435,,,0.309,,,,,,,,1955,,True,0.429
Minneapolis Lakers,27.1,3.0,4.0,3.0,4.0,,,,86.7,87.7,-1.0,106.3,0.467,,0.436,0.348,,,0.354,,,,,,,,1955,,True,0.429
Rochester Royals,29.0,1.0,2.0,1.0,2.0,,,,83.4,86.6,-3.2,112.8,0.431,,0.419,0.35,,,0.297,,,,,,,,1955,,True,0.333
New York Knicks,26.9,1.0,2.0,1.0,2.0,,,,95.0,101.4,-6.4,109.5,0.523,,0.484,0.393,,,0.405,,,,,,,,1955,,True,0.333
League Average,26.9,,,4.0,3.0,,,,91.0,91.0,,105.6,0.461,,0.461,0.381,,,0.349,,,,,,,,1955,,True,
Philadelphia Warriors,25.6,45.0,27.0,46.0,26.0,4.26,-0.45,3.82,94.6,90.7,3.9,108.5,0.439,,0.483,0.41,,,0.333,,,,,Convention Hall,,,1956,True,False,
Fort Wayne Pistons,27.2,37.0,35.0,38.0,34.0,0.71,-0.26,0.45,90.7,90.0,0.7,103.2,0.442,,0.461,0.388,,,0.324,,,,,War Memorial Coliseum,,,1956,True,False,
Boston Celtics,26.9,39.0,33.0,38.0,34.0,0.65,0.07,0.72,92.2,91.7,0.5,114.5,0.403,,0.469,0.397,,,0.31,,,,,Boston Garden,209645.0,,1956,True,False,
Syracuse Nationals,26.1,35.0,37.0,36.0,36.0,0.01,0.16,0.17,88.0,88.0,0.0,108.5,0.406,,0.444,0.37,,,0.307,,,,,Onondaga War Memorial,,,1956,True,False,
New York Knicks,26.8,35.0,37.0,35.0,37.0,-0.42,0.22,-0.2,92.4,92.8,-0.4,106.5,0.456,,0.47,0.392,,,0.343,,,,,Madison Square Garden (III),,,1956,True,False,
Minneapolis Lakers,26.8,33.0,39.0,34.0,38.0,-0.89,-0.03,-0.92,91.5,92.4,-0.9,108.0,0.401,,0.464,0.388,,,0.316,,,,,Minneapolis Auditorium,,,1956,True,False,
St. Louis Hawks,25.7,33.0,39.0,32.0,40.0,-1.47,0.05,-1.42,87.6,88.9,-1.3,109.4,0.417,,0.443,0.378,,,0.293,,,,,Kiel Auditorium,,,1956,True,False,
Rochester Royals,25.2,31.0,41.0,29.0,43.0,-2.86,0.25,-2.61,85.3,87.9,-2.6,111.7,0.373,,0.43,0.37,,,0.261,,,,,Rochester Community War Memorial,,,1956,False,False,
League Average,26.3,,,36.0,36.0,0.0,0.0,0.0,90.3,90.3,,108.8,0.416,,0.458,0.387,,,0.31,,,,,,209645.0,,1956,False,False,
Minneapolis Lakers,27.0,1.0,2.0,3.0,0.0,,,,103.4,87.5,15.9,117.0,0.658,,0.535,0.441,,,0.498,,,,,,,,1956,,True,0.333
Philadelphia Warriors,25.6,7.0,3.0,7.0,3.0,,,,92.6,87.1,5.5,113.0,0.439,,0.471,0.398,,,0.329,,,,,,,,1956,,True,0.7
Boston Celtics,27.2,1.0,2.0,2.0,1.0,,,,89.1,86.5,2.6,114.1,0.391,,0.45,0.377,,,0.301,,,,,,,,1956,,True,0.333
Fort Wayne Pistons,27.1,4.0,6.0,5.0,5.0,,,,87.5,87.0,0.5,106.0,0.439,,0.442,0.371,,,0.314,,,,,,,,1956,,True,0.4
Syracuse Nationals,26.0,4.0,4.0,2.0,6.0,,,,88.4,93.9,-5.5,115.0,0.422,,0.447,0.374,,,0.312,,,,,,,,1956,,True,0.5
St. Louis Hawks,26.5,4.0,4.0,1.0,7.0,,,,87.4,97.0,-9.6,106.1,0.514,,0.442,0.362,,,0.359,,,,,,,,1956,,True,0.5
League Average,26.4,,,3.0,4.0,,,,90.2,90.2,,110.8,0.461,,0.458,0.382,,,0.337,,,,,,,,1956,,True,
Boston Celtics,27.0,44.0,28.0,49.0,23.0,5.36,-0.58,4.78,88.5,84.0,4.5,118.0,0.361,,0.448,0.383,,,0.271,,,,,Boston Garden,262918.0,,1957,True,False,
Philadelphia Warriors,26.7,37.0,35.0,40.0,32.0,1.58,-0.04,1.54,92.4,90.9,1.5,108.0,0.407,,0.469,0.396,,,0.316,,,,,Convention Hall,,,1957,True,False,
New York Knicks,27.0,36.0,36.0,36.0,36.0,-0.14,0.21,0.07,90.6,90.7,-0.1,110.5,0.428,,0.459,0.387,,,0.319,,,,,Madison Square Garden (III),,,1957,False,False,
St. Louis Hawks,27.7,34.0,38.0,36.0,36.0,-0.08,-0.19,-0.27,89.0,89.1,-0.1,108.3,0.406,,0.451,0.383,,,0.296,,,,,Kiel Auditorium,,,1957,True,False,
Minneapolis Lakers,25.5,34.0,38.0,34.0,38.0,-0.81,-0.08,-0.89,88.5,89.2,-0.7,114.8,0.416,,0.447,0.371,,,0.315,,,,,Minneapolis Auditorium,,,1957,True,False,
Syracuse Nationals,25.7,38.0,34.0,32.0,40.0,-1.42,0.39,-1.03,88.3,89.5,-1.2,112.3,0.378,,0.445,0.369,,,0.3,,,,,Onondaga War Memorial,,,1957,True,False,
Rochester Royals,23.4,31.0,41.0,30.0,42.0,-2.19,0.12,-2.08,84.9,86.9,-2.0,109.4,0.353,,0.428,0.369,,,0.249,,,,,Rochester Community War Memorial,,,1957,False,False,
Fort Wayne Pistons,26.7,34.0,38.0,30.0,42.0,-2.31,0.13,-2.18,88.8,91.0,-2.2,107.7,0.38,,0.45,0.383,,,0.283,,,,,War Memorial Coliseum,,,1957,True,False,
League Average,26.3,,,36.0,36.0,0.0,-0.01,-0.01,88.9,88.9,,111.1,0.391,,0.449,0.38,,,0.293,,,,,,262918.0,,1957,False,False,
Boston Celtics,26.6,7.0,3.0,7.0,3.0,,,,85.8,80.3,5.5,125.0,0.381,,0.433,0.369,,,0.272,,,,,,,,1957,,True,0.7
St. Louis Hawks,27.7,6.0,4.0,4.0,6.0,,,,90.2,91.6,-1.4,118.6,0.477,,0.458,0.385,,,0.339,,,,,,,,1957,,True,0.6
Minneapolis Lakers,25.4,2.0,3.0,2.0,3.0,,,,90.4,92.4,-2.0,125.1,0.395,,0.459,0.391,,,0.294,,,,,,,,1957,,True,0.4
Fort Wayne Pistons,26.4,0.0,2.0,1.0,1.0,,,,95.2,97.7,-2.5,123.4,0.344,,0.488,0.435,,,0.254,,,,,,,,1957,,True,0.0
Syracuse Nationals,25.6,2.0,3.0,2.0,3.0,,,,83.1,86.3,-3.2,112.8,0.383,,0.415,0.337,,,0.296,,,,,,,,1957,,True,0.4
Philadelphia Warriors,26.7,0.0,2.0,0.0,2.0,,,,79.7,87.9,-8.2,110.4,0.274,,0.399,0.355,,,0.183,,,,,,,,1957,,True,0.0
League Average,26.6,,,3.0,3.0,,,,87.7,87.7,,120.4,0.403,,0.443,0.376,,,0.292,,,,,,,,1957,,True,
Boston Celtics,27.6,49.0,23.0,48.0,24.0,5.5,-0.47,5.02,88.0,83.6,4.4,124.8,0.333,,0.445,0.387,,,0.245,,,,,Boston Garden,240943.0,,1958,True,False,
Syracuse Nationals,26.6,41.0,31.0,41.0,31.0,2.18,0.0,2.18,89.9,88.1,1.8,119.1,0.357,,0.455,0.385,,,0.283,,,,,Onondaga War Memorial,,,1958,True,False,
St. Louis Hawks,28.0,41.0,31.0,39.0,33.0,1.32,-0.5,0.82,89.7,88.6,1.1,119.5,0.425,,0.455,0.388,,,0.304,,,,,Kiel Auditorium,,,1958,True,False,
New York Knicks,25.1,35.0,37.0,39.0,33.0,1.21,0.14,1.35,91.7,90.8,0.9,121.5,0.418,,0.466,0.395,,,0.315,,,,,Madison Square Garden (III),,,1958,False,False,
Philadelphia Warriors,26.8,37.0,35.0,36.0,36.0,-0.13,0.33,0.21,88.3,88.4,-0.1,117.8,0.357,,0.446,0.38,,,0.272,,,,,Convention Hall,,,1958,True,False,
Cincinnati Royals,25.7,33.0,39.0,33.0,39.0,-1.36,-0.12,-1.47,86.5,87.6,-1.1,117.3,0.323,,0.437,0.384,,,0.23,,,,,Cincinnati Gardens,,,1958,True,False,
Detroit Pistons,28.4,33.0,39.0,30.0,42.0,-2.35,0.02,-2.32,88.2,90.1,-1.9,118.8,0.38,,0.445,0.376,,,0.287,,,,,Detroit Olympia,,,1958,True,False,
Minneapolis Lakers,25.9,19.0,53.0,22.0,50.0,-6.38,0.6,-5.78,88.0,93.3,-5.3,118.8,0.418,,0.444,0.37,,,0.312,,,,,Minneapolis Auditorium,,,1958,False,False,
League Average,26.7,,,36.0,36.0,0.0,0.0,0.0,88.8,88.8,,119.7,0.376,,0.449,0.383,,,0.281,,,,,,240943.0,,1958,False,False,
Boston Celtics,27.6,6.0,5.0,7.0,4.0,,,,86.5,82.0,4.5,123.5,0.365,,0.435,0.363,,,0.285,,,,,,,,1958,,True,0.545
St. Louis Hawks,28.2,8.0,3.0,6.0,5.0,,,,92.5,90.4,2.1,118.4,0.475,,0.472,0.404,,,0.334,,,,,,,,1958,,True,0.727
Detroit Pistons,28.0,3.0,4.0,3.0,4.0,,,,89.6,91.6,-2.0,117.6,0.435,,0.453,0.373,,,0.332,,,,,,,,1958,,True,0.429
Philadelphia Warriors,26.9,3.0,5.0,3.0,5.0,,,,82.4,85.0,-2.6,114.5,0.301,,0.413,0.355,,,0.224,,,,,,,,1958,,True,0.375
Syracuse Nationals,26.5,1.0,2.0,1.0,2.0,,,,79.6,82.8,-3.2,111.9,0.345,,0.396,0.324,,,0.263,,,,,,,,1958,,True,0.333
Cincinnati Royals,26.1,0.0,2.0,0.0,2.0,,,,76.5,91.6,-15.1,122.2,0.33,,0.38,0.321,,,0.228,,,,,,,,1958,,True,0.0
League Average,27.5,,,4.0,3.0,,,,86.9,86.9,,118.6,0.388,,0.438,0.368,,,0.289,,,,,,,,1958,,True,
Boston Celtics,27.1,52.0,20.0,50.0,22.0,6.49,-0.65,5.84,89.5,84.5,5.0,128.7,0.316,,0.453,0.395,,,0.242,,,,,Boston Garden,244642.0,206.0,1959,True,False,
Syracuse Nationals,26.2,35.0,37.0,45.0,27.0,4.04,-0.3,3.74,92.5,89.2,3.3,121.0,0.353,,0.471,0.407,,,0.273,,,,,Onondaga War Memorial,,,1959,True,False,
St. Louis Hawks,28.1,49.0,23.0,45.0,27.0,3.69,-0.81,2.89,93.3,90.1,3.2,115.6,0.393,,0.476,0.41,,,0.295,,,,,Kiel Auditorium,,,1959,True,False,
New York Knicks,25.7,40.0,32.0,37.0,35.0,0.25,0.24,0.49,93.0,92.7,0.3,118.0,0.391,,0.473,0.399,,,0.309,,,,,Madison Square Garden (III),,,1959,True,False,
Detroit Pistons,27.5,28.0,44.0,33.0,39.0,-1.28,-0.1,-1.36,88.4,89.4,-1.0,117.8,0.36,,0.447,0.385,,,0.266,,,,,Detroit Olympia,,,1959,True,False,
Minneapolis Lakers,25.7,33.0,39.0,33.0,39.0,-1.33,-0.09,-1.42,90.8,91.9,-1.1,115.5,0.384,,0.461,0.392,,,0.292,,,,,Minneapolis Auditorium,,,1959,True,False,
Philadelphia Warriors,26.9,32.0,40.0,29.0,43.0,-3.0,0.71,-2.29,86.7,89.3,-2.6,118.4,0.327,,0.438,0.381,,,0.24,,,,,Convention Hall,,,1959,False,False,
Cincinnati Royals,23.7,19.0,53.0,17.0,55.0,-8.88,0.99,-7.89,87.5,95.0,-7.5,116.4,0.324,,0.443,0.389,,,0.233,,,,,Cincinnati Gardens,,,1959,False,False,
League Average,26.4,,,36.0,36.0,0.0,0.0,0.0,90.2,90.2,,118.9,0.355,,0.457,0.395,,,0.268,,,,,,244642.0,29.0,1959,False,False,
St. Louis Hawks,27.3,2.0,4.0,4.0,2.0,,,,96.7,90.2,6.5,109.8,0.441,,0.496,0.43,,,0.325,,,,,,,,1959,,True,0.333
Boston Celtics,27.1,8.0,3.0,8.0,3.0,,,,89.7,84.1,5.6,137.4,0.337,,0.455,0.397,,,0.251,,,,,,,,1959,,True,0.727
Syracuse Nationals,26.7,5.0,4.0,4.0,5.0,,,,95.5,97.5,-2.0,126.2,0.408,,0.486,0.401,,,0.346,,,,,,,,1959,,True,0.556
Minneapolis Lakers,25.9,6.0,7.0,4.0,9.0,,,,90.1,94.5,-4.4,116.5,0.337,,0.456,0.391,,,0.264,,,,,,,,1959,,True,0.462
Detroit Pistons,27.5,1.0,2.0,1.0,2.0,,,,93.4,98.3,-4.9,109.9,0.386,,0.475,0.401,,,0.31,,,,,,,,1959,,True,0.333
New York Knicks,26.0,0.0,2.0,0.0,2.0,,,,84.3,92.0,-7.7,141.2,0.306,,0.423,0.363,,,0.234,,,,,,,,1959,,True,0.0
League Average,26.7,,,4.0,4.0,,,,91.8,91.8,,123.4,0.365,,0.466,0.398,,,0.286,,,,,,,,1959,,True,
Boston Celtics,27.5,59.0,16.0,54.0,21.0,8.32,-0.7,7.62,91.0,84.9,6.1,136.3,0.281,,0.463,0.417,,,0.206,,,,,Boston Garden,209374.0,,1960,True,False,
St. Louis Hawks,27.6,46.0,29.0,44.0,31.0,2.71,-0.93,1.77,94.0,91.8,2.2,120.0,0.381,,0.481,0.419,,,0.283,,,,,Kiel Auditorium,,,1960,True,False,
Syracuse Nationals,27.0,45.0,30.0,43.0,32.0,2.63,0.15,2.77,93.1,91.0,2.1,127.2,0.323,,0.474,0.414,,,0.256,,,,,Onondaga War Memorial,,,1960,True,False,
Philadelphia Warriors,26.2,49.0,26.0,43.0,32.0,2.63,0.15,2.77,88.7,86.8,1.9,133.3,0.31,,0.451,0.409,,,0.207,,,,,Convention Hall,,,1960,True,False,
New York Knicks,26.4,27.0,48.0,32.0,43.0,-2.31,0.87,-1.43,93.0,94.9,-1.9,125.9,0.311,,0.475,0.421,,,0.238,,,,,Madison Square Garden (III),,,1960,False,False,
Detroit Pistons,27.1,30.0,45.0,30.0,45.0,-3.43,-0.03,-3.45,89.8,92.6,-2.8,123.1,0.359,,0.456,0.397,,,0.262,,,,,Detroit Olympia,,,1960,True,False,
Minneapolis Lakers,25.5,25.0,50.0,28.0,47.0,-4.23,0.09,-4.14,87.7,91.2,-3.5,121.2,0.341,,0.444,0.386,,,0.249,,,,,Minneapolis Armory,,,1960,True,False,
Cincinnati Royals,25.0,19.0,56.0,24.0,51.0,-6.32,0.4,-5.92,91.3,96.5,-5.2,121.6,0.343,,0.465,0.412,,,0.246,,,,,Cincinnati Gardens,,,1960,False,False,
League Average,26.5,,,37.0,38.0,0.0,0.0,0.0,91.1,91.1,,126.1,0.33,,0.463,0.41,,,0.242,,,,,,209374.0,,1960,False,False,
Boston Celtics,27.7,8.0,5.0,9.0,4.0,,,,87.7,83.2,4.5,129.1,0.275,,0.443,0.392,,,0.21,,,,,,,,1960,,True,0.615
Philadelphia Warriors,26.3,4.0,5.0,5.0,4.0,,,,87.8,86.3,1.5,129.7,0.335,,0.447,0.409,,,0.207,,,,,,,,1960,,True,0.444
St. Louis Hawks,27.2,7.0,7.0,6.0,8.0,,,,93.4,94.7,-1.3,112.4,0.372,,0.477,0.418,,,0.275,,,,,,,,1960,,True,0.5
Minneapolis Lakers,25.5,5.0,4.0,4.0,5.0,,,,91.3,92.9,-1.6,112.8,0.355,,0.464,0.404,,,0.265,,,,,,,,1960,,True,0.556
Detroit Pistons,27.5,0.0,2.0,1.0,1.0,,,,85.3,91.8,-6.5,123.7,0.33,,0.428,0.363,,,0.256,,,,,,,,1960,,True,0.0
Syracuse Nationals,27.0,1.0,2.0,1.0,2.0,,,,87.5,97.4,-9.9,125.3,0.266,,0.441,0.38,,,0.225,,,,,,,,1960,,True,0.333
League Average,26.8,,,4.0,4.0,,,,89.7,89.7,,121.1,0.326,,0.455,0.402,,,0.238,,,,,,,,1960,,True,
Boston Celtics,28.3,57.0,22.0,52.0,27.0,5.66,-0.72,4.94,88.7,84.5,4.2,134.4,0.302,,0.449,0.398,,,0.222,,,,,Boston Garden,201569.0,,1961,True,False,
St. Louis Hawks,27.4,51.0,28.0,48.0,31.0,3.56,-0.57,2.99,91.4,88.7,2.7,129.1,0.332,,0.465,0.411,,,0.244,,,,,Kiel Auditorium,,,1961,True,False,
Syracuse Nationals,26.7,38.0,41.0,44.0,35.0,2.15,-0.22,1.93,93.6,91.9,1.7,129.1,0.337,,0.477,0.418,,,0.26,,,,,Onondaga War Memorial,,,1961,True,False,
Philadelphia Warriors,27.0,46.0,33.0,42.0,37.0,0.94,-0.05,0.89,91.2,90.5,0.7,132.0,0.35,,0.466,0.424,,,0.228,,,,,Convention Hall,,,1961,True,False,
Los Angeles Lakers,25.2,36.0,43.0,39.0,40.0,-0.05,-0.06,-0.11,90.8,90.9,-0.1,124.9,0.356,,0.462,0.403,,,0.261,,,,,Los Angeles Memorial Sports Arena,151344.0,,1961,True,False,
Detroit Pistons,25.8,34.0,45.0,34.0,45.0,-2.38,0.27,-2.11,93.8,95.6,-1.8,126.0,0.388,,0.479,0.417,,,0.288,,,,,Detroit Olympia,,,1961,True,False,
Cincinnati Royals,24.4,33.0,46.0,32.0,47.0,-3.46,0.42,-3.04,95.6,98.4,-2.8,122.8,0.333,,0.49,0.438,,,0.249,,,,,Cincinnati Gardens,,,1961,False,False,
New York Knicks,26.2,21.0,58.0,25.0,54.0,-6.42,0.99,-5.43,91.9,97.1,-5.2,122.9,0.34,,0.468,0.41,,,0.256,,,,,Madison Square Garden (III),,,1961,False,False,
League Average,26.4,,,40.0,39.0,0.0,0.01,0.01,92.1,92.1,,127.7,0.342,,0.469,0.415,,,0.25,,,,,,176457.0,,1961,False,False,
Boston Celtics,28.2,8.0,2.0,8.0,2.0,,,,92.6,83.7,8.9,130.4,0.386,,0.472,0.413,,,0.279,,,,,,,,1961,,True,0.8
Los Angeles Lakers,25.4,6.0,6.0,7.0,5.0,,,,95.6,94.0,1.6,122.0,0.391,,0.49,0.428,,,0.292,,,,,,,,1961,,True,0.5
Philadelphia Warriors,26.7,0.0,3.0,1.0,2.0,,,,84.3,87.4,-3.1,128.1,0.436,,0.426,0.373,,,0.27,,,,,,,,1961,,True,0.0
Detroit Pistons,25.8,2.0,3.0,2.0,3.0,,,,92.2,96.0,-3.8,127.3,0.377,,0.47,0.407,,,0.282,,,,,,,,1961,,True,0.4
St. Louis Hawks,27.0,5.0,7.0,4.0,8.0,,,,89.0,93.1,-4.1,124.7,0.328,,0.451,0.398,,,0.238,,,,,,,,1961,,True,0.417
Syracuse Nationals,27.0,4.0,4.0,3.0,5.0,,,,88.8,93.1,-4.3,124.3,0.366,,0.448,0.373,,,0.293,,,,,,,,1961,,True,0.5
League Average,26.7,,,4.0,4.0,,,,91.3,91.3,,125.6,0.372,,0.464,0.403,,,0.274,,,,,,,,1961,,True,
Boston Celtics,27.9,60.0,20.0,60.0,20.0,9.24,-0.98,8.25,92.1,85.1,7.0,130.8,0.298,,0.47,0.423,,,0.217,,,,,Boston Garden,191855.0,,1962,True,False,
Philadelphia Warriors,26.5,49.0,31.0,46.0,34.0,2.78,-0.14,2.63,94.5,92.4,2.1,131.1,0.359,,0.485,0.439,,,0.247,,,,,Convention Hall,,,1962,True,False,
Syracuse Nationals,26.9,41.0,39.0,45.0,35.0,2.31,-0.07,2.24,93.4,91.6,1.8,128.8,0.325,,0.476,0.418,,,0.253,,,,,Onondaga War Memorial,,,1962,True,False,
Los Angeles Lakers,25.9,54.0,26.0,45.0,35.0,2.2,-0.4,1.8,95.0,93.3,1.7,123.3,0.39,,0.487,0.427,,,0.286,,,,,Los Angeles Memorial Sports Arena,190321.0,,1962,True,False,
Cincinnati Royals,25.0,43.0,37.0,44.0,36.0,1.76,-0.48,1.28,98.3,96.9,1.4,124.9,0.353,,0.506,0.452,,,0.265,,,,,Cincinnati Gardens,,,1962,True,False,
Detroit Pistons,26.0,37.0,43.0,36.0,44.0,-1.69,-0.03,-1.72,92.8,94.2,-1.4,124.1,0.376,,0.474,0.415,,,0.274,,,,,Cobo Arena,,,1962,True,False,
St. Louis Hawks,27.4,29.0,51.0,32.0,48.0,-3.28,0.31,-2.96,95.2,97.8,-2.6,124.6,0.347,,0.487,0.43,,,0.263,,,,,Kiel Auditorium,,,1962,False,False,
New York Knicks,26.0,29.0,51.0,29.0,51.0,-4.84,0.86,-3.98,91.2,95.0,-3.8,125.6,0.31,,0.465,0.418,,,0.22,,,,,Madison Square Garden (III),,,1962,False,False,
Chicago Packers,25.8,18.0,62.0,21.0,59.0,-8.49,0.94,-7.54,90.0,96.9,-6.9,122.9,0.345,,0.458,0.412,,,0.232,,,,,International Amphitheatre,,,1962,False,False,
League Average,26.3,,,40.0,40.0,0.0,0.0,0.0,93.6,93.6,,126.2,0.344,,0.479,0.426,,,0.25,,,,,,191088.0,,1962,False,False,
Boston Celtics,28.1,8.0,6.0,9.0,5.0,,,,90.4,86.6,3.8,126.2,0.318,,0.459,0.407,,,0.234,,,,,,,,1962,,True,0.571
Cincinnati Royals,25.0,1.0,3.0,2.0,2.0,,,,101.4,99.4,2.0,115.7,0.316,,0.524,0.468,,,0.257,,,,,,,,1962,,True,0.25
Los Angeles Lakers,26.1,7.0,6.0,7.0,6.0,,,,96.5,95.6,0.9,121.0,0.43,,0.494,0.422,,,0.33,,,,,,,,1962,,True,0.538
Philadelphia Warriors,26.5,6.0,6.0,6.0,6.0,,,,88.6,89.2,-0.6,119.7,0.391,,0.449,0.386,,,0.28,,,,,,,,1962,,True,0.5
Detroit Pistons,26.1,5.0,5.0,4.0,6.0,,,,93.8,98.0,-4.2,122.9,0.344,,0.48,0.428,,,0.25,,,,,,,,1962,,True,0.5
Syracuse Nationals,27.0,2.0,3.0,1.0,4.0,,,,86.2,91.6,-5.4,115.1,0.298,,0.433,0.37,,,0.241,,,,,,,,1962,,True,0.4
League Average,26.7,,,5.0,5.0,,,,92.4,92.4,,121.5,0.36,,0.471,0.411,,,0.269,,,,,,,,1962,,True,
Boston Celtics,28.3,58.0,22.0,56.0,24.0,7.18,-0.8,6.38,93.0,87.4,5.6,127.3,0.316,,0.475,0.427,,,0.229,,,,,Boston Garden,262581.0,,1963,True,False,
Syracuse Nationals,26.7,48.0,32.0,49.0,31.0,3.79,-0.39,3.4,98.4,95.3,3.1,123.3,0.362,,0.506,0.445,,,0.283,,,,,Onondaga War Memorial,,,1963,True,False,
Los Angeles Lakers,26.2,53.0,27.0,48.0,32.0,3.13,-0.46,2.67,97.4,94.7,2.7,117.8,0.369,,0.5,0.441,,,0.281,,,,,Los Angeles Memorial Sports Arena,285462.0,,1963,True,False,
St. Louis Hawks,26.1,48.0,32.0,45.0,35.0,1.78,-0.39,1.38,94.8,93.3,1.5,115.6,0.362,,0.486,0.431,,,0.264,,,,,Kiel Auditorium,,,1963,True,False,
Cincinnati Royals,26.0,42.0,38.0,43.0,37.0,1.26,-0.03,1.24,99.4,98.3,1.1,119.0,0.365,,0.513,0.459,,,0.273,,,,,Cincinnati Gardens,,,1963,True,False,
San Francisco Warriors,25.7,31.0,49.0,35.0,45.0,-2.09,0.22,-1.86,95.2,96.8,-1.6,123.2,0.331,,0.49,0.45,,,0.221,,,,,Cow Palace,,,1963,False,False,
Detroit Pistons,24.9,34.0,46.0,31.0,49.0,-3.7,0.32,-3.38,94.2,97.3,-3.1,120.3,0.348,,0.482,0.432,,,0.25,,,,,Cobo Arena,,,1963,True,False,
Chicago Zephyrs,25.3,25.0,55.0,30.0,50.0,-4.09,0.45,-3.63,97.5,101.1,-3.6,112.2,0.395,,0.503,0.453,,,0.276,,,,,Chicago Coliseum,,,1963,False,False,
New York Knicks,27.7,21.0,59.0,23.0,57.0,-7.25,1.06,-6.2,93.5,99.7,-6.2,117.5,0.347,,0.479,0.429,,,0.246,,,,,Madison Square Garden (III),,,1963,False,False,
League Average,26.4,,,40.0,40.0,0.0,0.0,0.0,95.9,95.9,,119.6,0.354,,0.493,0.441,,,0.258,,,,,,274022.0,,1963,False,False,
Los Angeles Lakers,25.8,6.0,7.0,7.0,6.0,,,,100.4,98.2,2.2,112.6,0.434,,0.518,0.45,,,0.333,,,,,,,,1963,,True,0.462
Boston Celtics,28.5,8.0,5.0,7.0,6.0,,,,93.4,91.7,1.7,126.4,0.344,,0.477,0.422,,,0.256,,,,,,,,1963,,True,0.615
St. Louis Hawks,25.8,6.0,5.0,6.0,5.0,,,,95.1,94.1,1.0,116.3,0.352,,0.487,0.431,,,0.263,,,,,,,,1963,,True,0.545
Cincinnati Royals,26.1,6.0,6.0,6.0,6.0,,,,100.1,101.3,-1.2,120.0,0.441,,0.516,0.447,,,0.339,,,,,,,,1963,,True,0.5
Syracuse Nationals,27.0,2.0,3.0,2.0,3.0,,,,98.9,102.5,-3.6,119.6,0.377,,0.509,0.444,,,0.299,,,,,,,,1963,,True,0.4
